,name,link,comments,Tomato Type,Breed,Season,Leaf Type,Plant Type,Plant Height,Fruit Size,Fruit Shape,Skin Color,Flesh Color,Taste,Comments,Origin,History,Usage,Availability,Disease Resistance,Flaws
112,Blondkopfchen,https://njaes.rutgers.edu/tomato-varieties/variety.php?Blondkopfchen,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,8 ft.,0.5 oz.,Cherry,Yellow,Yellow,,,,,,,,
113,Bloody Butcher,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bloody+Butcher,,Specialty,Open Pollinated,Mid,Potato,Indeterminate,5 ft.,8 oz.,Round,Red,Red,,,,,,,,
114,Blue Beauty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Blue+Beauty,,Garden,Open Pollinated,Late,Normal,Indeterminate,5 ft.,6 oz.,Flattened Globe,Bi-color,Red,Tomato Flavor,A cross between ‘Beauty King’ and a blue tomato.  Red fruit with purple shoulders.,,,,,,
115,Blue Beech,https://njaes.rutgers.edu/tomato-varieties/variety.php?Blue+Beech,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,10 oz.,Plum,Red,Red,,Well adapted to cold climates.,Italy,,,,,
116,Blue Ribbon,https://njaes.rutgers.edu/tomato-varieties/variety.php?Blue+Ribbon,,,Hybrid,Mid,Normal,Indeterminate,6 ft.,12 oz.,Flattened Globe,Red,Red,,,,,,,,
117,Blush,https://njaes.rutgers.edu/tomato-varieties/variety.php?Blush,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,1 oz.,Plum,Bi-color,Bi-color,,,,,,,,
118,Blushing Star,https://njaes.rutgers.edu/tomato-varieties/variety.php?Blushing+Star,,Garden,Hybrid,Early,Normal,Indeterminate,6 ft.,14 oz.,Flattened Globe,Pink,Pink,,"Resistant to late blight and septoria leaf spot, savory and sweet",,,,,,
119,Bobcat,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bobcat,,,Hybrid,Early,,Determinate,4 ft.,10 oz.,Round,Red,Red,,,,,,,,
120,Bolseno,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bolseno,,Specialty,Hybrid,Mid,Narrow,Indeterminate,5 ft.,6-7 oz.,Flattened Globe,Red,Red,,Has green shoulders.,,,,,,
121,Boondocks,https://njaes.rutgers.edu/tomato-varieties/variety.php?Boondocks,,Specialty,Open Pollinated,Late,Potato,Indeterminate,6 ft.,16 oz.,Beefsteak,Deep Pink,Deep Pink,,,,,,Commercial,,
122,Booty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Booty,,Garden,Hybrid,Mid,Normal,Determinate,3 ft.,12 oz.,Flattened Globe,Red,Red,,,,,,,,
123,Box Car Willie,https://njaes.rutgers.edu/tomato-varieties/variety.php?Box+Car+Willie,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,10-16 oz.,Beefsteak,Red,Red,,Consistent performer.,,,Fresh,Commercial,,
124,Bradley,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bradley,,,,Late,Narrow,Determinate,4 ft.,8 oz.,Round,Red,,Tomato Flavor,Old-fashioned tomato flavor?  Popular in southern states.,,,,,,
125,Brandymaster Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Brandymaster+Pink,,Garden,Hybrid,Mid,Potato,Indeterminate,6 ft.,10 oz.,Beefsteak,Pink,Pink,,Potato leaf.,,,,,,
126,Brandymaster yellow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Brandymaster+yellow,,Specialty,Hybrid,Late,Potato,Indeterminate,7 ft.,16 oz.,Beefsteak,Yellow,Yellow,,,,,,,,
127,Brandysweet Plum,https://njaes.rutgers.edu/tomato-varieties/variety.php?Brandysweet+Plum,,Specialty,Open Pollinated,Mid,Potato,Indeterminate,7 ft.,1 oz.,Small Pear,Pink,Pink,,Cross between 'Brandywine' and a cherry tomato.,,,,,,
128,Brandywine,https://njaes.rutgers.edu/tomato-varieties/variety.php?Brandywine,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,7 ft.,10-16 oz.,Beefsteak,Pink,Pink,,Known for its flavor. Several strains available.,USA,Saved by the Amish.,Fresh,"Seed Exchange, Commercial",,
129,Brandywine Black,https://njaes.rutgers.edu/tomato-varieties/variety.php?Brandywine+Black,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,12 oz.,Beefsteak,Black,Black,,,,,,,,
130,Brandywine OTV,https://njaes.rutgers.edu/tomato-varieties/variety.php?Brandywine+OTV,,Heirloom,Open Pollinated,Mid,Potato,Indeterminate,6 ft.,12 oz.,Beefsteak,Red,Red,,,,,Fresh,,,
131,Brandywine Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Brandywine+Pink,,Garden,Open Pollinated,Late,Potato,Indeterminate,6 ft.,16 oz.,Flattened Globe,Pink,Pink,,"Beefsteak, intense tomato flavor",USA,,,,,
132,Brandywine Red,https://njaes.rutgers.edu/tomato-varieties/variety.php?Brandywine+Red,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,6 ft.,14 oz.,Beefsteak,Red,Red,,,,,Fresh,Commercial,,
133,Brave General,https://njaes.rutgers.edu/tomato-varieties/variety.php?Brave+General,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,16 oz.,Beefsteak,Pink,Pink,,,Russia,,,,,
134,Braveheart,https://njaes.rutgers.edu/tomato-varieties/variety.php?Braveheart,,Garden,Hybrid,Early,Normal,Indeterminate,6 ft.,1 oz.,Cherry,Red,Red,Sweet,Medium size plant.,,,,,,
135,Bronze Torch,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bronze+Torch,,Specialty,Hybrid,Early,Normal,Indeterminate,6 ft.,1.5 oz.,Round,Red,Red,,"Crack resistant, brick red with bronze stripes",,,,,,
136,Brown Berry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Brown+Berry,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,0.6 oz.,Cherry,Black,Black,,,,,,,,
137,Buckbees New Fifty Day,https://njaes.rutgers.edu/tomato-varieties/variety.php?Buckbees+New+Fifty+Day,,,Open Pollinated,Mid,,Indeterminate,5 ft.,8 oz.,Round,Red,Red,,,,,,,,
138,Buffalo Steak (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Buffalo+Steak+(1),,,Hybrid,Late,,Indeterminate,5 ft.,6 oz.,Beefsteak,Red,Red,,,,,,,,
139,Buffalosun Hybrid,https://njaes.rutgers.edu/tomato-varieties/variety.php?Buffalosun+Hybrid,,Garden,Hybrid,Late,Normal,Indeterminate,6 ft.,20 oz.,Flattened Globe,Bi-color,Yellow,,"Resistant to late blight, large, beautifully colored, tender and meaty  beefsteak with smooth pleated skin",,,,,,
140,Bulgarian #7,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bulgarian+#7,No information; ,,,,,,,,,,,,,,,,,,
141,Bulgarian Triumph,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bulgarian+Triumph,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,3 oz.,Round,Red,Red,,Fruit in clusters.,Bulgaria,,,,,
142,Burbank,https://njaes.rutgers.edu/tomato-varieties/variety.php?Burbank,,Heirloom,Open Pollinated,Mid,Normal,Determinate,3 ft.,6 oz.,Round,Red,Red,,,,,,,,
143,Burgess Stuffing Tomato,https://njaes.rutgers.edu/tomato-varieties/variety.php?Burgess+Stuffing+Tomato,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,4 inches,Stuffer,Red,Red,,Unique hollow fruit look like peppers.,,,,,,
144,Burpee's Big Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Burpee's+Big+Boy,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,10 oz.,Beefsteak,Red,Red,,,USA,,,Commercial,,
145,Burpee's Burger,https://njaes.rutgers.edu/tomato-varieties/variety.php?Burpee's+Burger,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
146,Burpee's Summer Choice,https://njaes.rutgers.edu/tomato-varieties/variety.php?Burpee's+Summer+Choice,,,Hybrid,Mid,,Indeterminate,3 ft.,4 oz.,Round,Red,Red,,,,,,,,
147,Burrell's Special,https://njaes.rutgers.edu/tomato-varieties/variety.php?Burrell's+Special,,Garden,Hybrid,Mid,Normal,Determinate,4 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
148,Bush Beefsteak,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bush+Beefsteak,,,Open Pollinated,Early,,Determinate,4 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
149,Bush Big Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bush+Big+Boy,,Garden,Hybrid,Mid,Narrow,Determinate,3 ft.,10 oz.,Flattened Globe,Red,Red,Sweet,Compact plants.,,,Fresh,Commercial,,
150,Bush Blue Ribbon,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bush+Blue+Ribbon,,Specialty,Hybrid,Mid,Normal,Determinate,4 ft.,8 oz.,Round,Red,Red,,,,,,,,
151,Bush Early Girl II,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bush+Early+Girl+II,,,Hybrid,Early,,Determinate,3 ft.,10 oz.,Round,Red,Red,,,,,,,,
152,Bush Goliath,https://njaes.rutgers.edu/tomato-varieties/variety.php?Bush+Goliath,,Garden,Hybrid,Mid,Narrow,Determinate,5 ft.,3-4 inches,Round,Red,Red,Sweet,Compact plant.,,,,,,
153,Cabernet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cabernet,,,Hybrid,Mid,Narrow,Indeterminate,6 ft.,10 oz.,Round,Red,Red,,"Rich, sweet flavor?",,,,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker, Tobbacco Mosaic Virus",
154,Cabo,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cabo,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,4 oz.,Plum,Red,Red,,Flavorful and prolific,,,,,,
155,Cacady's Folly,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cacady's+Folly,,Heirloom,Open Pollinated,Late,Normal,Determinate,4 ft.,5 oz.,Plum,Bi-color,Bi-color,,Orange fruit with red stripes.,,,,,,
156,Caiman,https://njaes.rutgers.edu/tomato-varieties/variety.php?Caiman,,,Hybrid,Late,,Indeterminate,5 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
157,Camaro,https://njaes.rutgers.edu/tomato-varieties/variety.php?Camaro,,Garden,Hybrid,Mid,Normal,Determinate,3 ft.,10 oz.,Round,Red,Red,Tomato Flavor,Compact plant. VF1F2F3A.,,,,,,
158,Camelia,https://njaes.rutgers.edu/tomato-varieties/variety.php?Camelia,,Commercial,Hybrid,Mid,Normal,Indeterminate,6 ft.,1 oz.,Cherry,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Tobbacco Mosaic Virus",
159,Campbell's 1327,https://njaes.rutgers.edu/tomato-varieties/variety.php?Campbell's+1327,,Heirloom,Open Pollinated,Early,Narrow,Determinate,4 ft.,10 oz.,Round,Red,Red,,Some tolerance to cracking.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Alternaria Stem Canker",
160,Campbell's 33,https://njaes.rutgers.edu/tomato-varieties/variety.php?Campbell's+33,,Heirloom,Open Pollinated,Mid,Normal,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,Green shoulders.,USA,,,,"Verticillium Wilt, Alternaria Stem Canker",
161,Candyland,https://njaes.rutgers.edu/tomato-varieties/variety.php?Candyland,,Garden,Hybrid,Early,Normal,Indeterminate,5 ft.,0.5 oz.,Currant,Red,Red,Sweet,2016 AAS winner.,,,,,,
162,Canestrino,https://njaes.rutgers.edu/tomato-varieties/variety.php?Canestrino,,Garden,Open Pollinated,Early,Normal,Indeterminate,7 ft.,8 oz.,Flattened Globe,Red,Red,,"Scalloped, slightly ribbed",Italy,,,,,
163,Cannellino,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cannellino,,Commercial,Hybrid,Mid,Normal,Determinate,5 ft.,0.5 oz.,Grape,Yellow,Yellow,,"Unique and sweet flavor, resists cracking, VF",,,,,,
164,Capaya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Capaya,,,Hybrid,Mid,Normal,Determinate,5 ft.,6 oz.,Long Blocky,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Alternaria Stem Canker, Tobbacco Mosaic Virus",
165,Captain Lucky,https://njaes.rutgers.edu/tomato-varieties/variety.php?Captain+Lucky,,Garden,Hybrid,Mid,Potato,Indeterminate,5 ft.,13 oz.,Flattened Globe,Green,Bi-color,,Flesh is green and yellow with streaks of bright red and pink,USA,,,,,
166,Carbon,https://njaes.rutgers.edu/tomato-varieties/variety.php?Carbon,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,5 ft.,10 oz.,Flattened Globe,Black,Black,,"One of the darkest ""black"" tomatoes.  Very rich flavor?",,,Fresh,"Seed Exchange, Commercial",,
167,Carmelita (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Carmelita+(1),,Heirloom,Hybrid,Mid,Narrow,Indeterminate,4 ft.,8 oz.,Flattened Globe,Red,Red,,,France,,,,,
168,Carmello,https://njaes.rutgers.edu/tomato-varieties/variety.php?Carmello,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,5 ft.,6 oz.,Flattened Globe,Red,Red,,,,,,,,
169,Caro Rich,https://njaes.rutgers.edu/tomato-varieties/variety.php?Caro+Rich,,Heirloom,Open Pollinated,Mid,Narrow,Determinate,4 ft.,8 oz.,Round,Orange,Orange,,Very high in beta-carotene.,,,Fresh,Commercial,,
170,Carolina Gold,https://njaes.rutgers.edu/tomato-varieties/variety.php?Carolina+Gold,,Commercial,Hybrid,Mid,Normal,Determinate,5 ft.,10 oz.,Flattened Globe,Golden,Golden,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
171,Casa del Sol,https://njaes.rutgers.edu/tomato-varieties/variety.php?Casa+del+Sol,,,Hybrid,Mid,Narrow,Determinate,3 ft.,6 oz.,Plum,Red,,,,,,,,,
172,Caspian Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Caspian+Pink,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,12 oz.,Beefsteak,Pink,Pink,,,Russia,,,,,
173,Cedro,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cedro,,Garden,Hybrid,Mid,Normal,Indeterminate,7 ft.,6 oz.,Plum,Red,Red,,"Heat tolerant, F",,,,,,
174,Celano,https://njaes.rutgers.edu/tomato-varieties/variety.php?Celano,,Garden,Hybrid,Early,Normal,Semi-Determinate,5 ft.,0.5 oz.,Grape,Red,Red,,2020 AAS Winner Excellent late blight tolerance,,,,,,
175,Celebration,https://njaes.rutgers.edu/tomato-varieties/variety.php?Celebration,,,Hybrid,Late,Normal,Determinate,4 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,,,
176,Celebrity,https://njaes.rutgers.edu/tomato-varieties/variety.php?Celebrity,,Garden,Hybrid,Mid,Normal,Semi-Determinate,5 ft.,10 oz.,Flattened Globe,Red,Red,,1998 All-American Selection winner.  Known for good flavor.,USA,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker, Tobbacco Mosaic Virus",
177,Celebrity Supreme,https://njaes.rutgers.edu/tomato-varieties/variety.php?Celebrity+Supreme,,Garden,Hybrid,Mid,Narrow,Semi-Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,Said to be crack resistant with 'Celebrity' taste.,,,,,,
178,Centiflor Red,https://njaes.rutgers.edu/tomato-varieties/variety.php?Centiflor+Red,,Garden,Open Pollinated,Mid,Normal,Indeterminate,4 ft.,1 oz.,Cherry,Red,Red,Sweet,"Clusters that hang like grapes.  Bred by Dr. Alan Kapuler, Ph.D. of Peace Seeds.",USA,,,,,
179,Cerise Orange,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cerise+Orange,,Heirloom,Open Pollinated,Early,Potato,Indeterminate,7 ft.,0.4 inches,Cherry,Golden,Golden,Fruity,,France,,,,,
180,Ceylon,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ceylon,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,8 ft.,3 oz.,Flattened Globe,Red,Red,,Scalloped fruit. Slightly sweet with bit of zing?  Interesting cut in half as a garnish.,,,Fresh,"Seed Exchange, Commercial",,
181,Chadwick Cherry (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Chadwick+Cherry+(2),,Garden,Open Pollinated,Mid,Normal,Indeterminate,5 ft.,1 oz.,Cherry,Red,Red,,"Developed by Alan Chadwick, sparkling, full bodied flavor?",USA,,,,,
182,Chalk's Early Jewel,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chalk's+Early+Jewel,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,6 ft.,4-6 oz.,Round,Red,Red,,"Developed by James Chalk of Norristown, Pennsylvania, introduced in 1910.",,,,,,
183,Champion,https://njaes.rutgers.edu/tomato-varieties/variety.php?Champion,,Garden,Hybrid,Early,Normal,Indeterminate,5 ft.,7 oz.,Flattened Globe,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes, Tobbacco Mosaic Virus",
184,Chancha,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chancha,,,Hybrid,Late,,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
185,Chapman,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chapman,,Garden,Open Pollinated,Late,Normal,Indeterminate,5 ft.,16 oz.,Beefsteak,Red,Red,Tomato Flavor,,,,,,,
186,Charger,https://njaes.rutgers.edu/tomato-varieties/variety.php?Charger,,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,12 oz.,Flattened Globe,Red,Red,,,USA,,,,,
187,Chef's Choice Black,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chef's+Choice+Black,,Specialty,Hybrid,Early,Normal,Indeterminate,6 ft.,10 oz.,Flattened Globe,Black,Purple,,Green shoulders. Said to have a slightly salty taste.,,,,,,
188,Chef's Choice Green,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chef's+Choice+Green,,Garden,Hybrid,Late,Normal,Indeterminate,5 ft.,10 oz.,Flattened Globe,Green,Green,Tomato Flavor,2016 AAS winner. VFTA.,,,,,,
189,Chef's Choice Orange,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chef's+Choice+Orange,,,Hybrid,Mid,,Indeterminate,6 ft.,10 oz.,Flattened Globe,Orange,Orange,,Bred from Amana Orange.,,,,,,
190,Chef's Choice Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chef's+Choice+Pink,,,Hybrid,Late,,Indeterminate,6 ft.,12 oz.,Beefsteak,Pink,Pink,,2015 AAS winner.  Potato leaves.,,,,,,
191,Chef's Choice Purple,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chef's+Choice+Purple,,Commercial,Hybrid,Mid,Normal,Indeterminate,5 ft.,10 oz.,Flattened Globe,Purple,Purple,,"Purple color inside and out, excellent flavor?",,,,,,
192,Chef's Choice Red,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chef's+Choice+Red,,Specialty,Hybrid,Late,Normal,Indeterminate,5 ft.,8 oz.,Globe,Red,Red,,2018 AAS winner. VFF.,,,,,,
193,Chef's Choice Striped,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chef's+Choice+Striped,,Garden,Hybrid,Mid,Normal,Indeterminate,4 ft.,7 oz.,Round,Yellow,Yellow,,"Yellow with pink stripes and stunning yellow flesh, mild flavor",,,,,,
194,Chello,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chello,,Specialty,Open Pollinated,Early,Narrow,Determinate,2 ft.,1 oz.,Cherry,Yellow,Orange,Sweet,"Sweet, fruity flavor?",,,Fresh,Seed Exchange,,
195,Cherokee Carbon ,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherokee+Carbon+,,,Open Pollinated,Mid,,Indeterminate,5 ft.,12 oz.,Beefsteak,Purple,Purple,,Beefsteak heirloom marriage between Cherokee Purple and Carbon.,,,,,,
196,Cherokee Chocolate,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherokee+Chocolate,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,5 ft.,13 oz.,Beefsteak,Black,Black,,,USA,Craig LeHoullier stabilized this rogue type from the popular heirloom 'Cherokee Purple'.,,,,
197,Cherokee Green,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherokee+Green,,Garden,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,8 oz.,Round,Green,Green,,"Bold, acidic, complex flavor",,,,,,
198,Cherokee Purple,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherokee+Purple,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,5 ft.,10 oz.,Flattened Globe,Deep Pink,Deep Pink,,Very sweet flavor?  Has green shoulders.,,Said to be 100 years old and originally from the Cherokee people.,Fresh,"Seed Exchange, Commercial",,
199,Cherries Jubilee,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherries+Jubilee,,Garden,,Late,Narrow,Determinate,5 ft.,3/4 inches,Cherry,Red,Red,,,,,,,,
200,Cherry Baby,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Baby,,,Hybrid,Mid,,Indeterminate,6 ft.,1 oz.,Cherry,Red,Red,,Grow in long clusters.,,,,,,
201,Cherry Blossom,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Blossom,,Commercial,Hybrid,Mid,Normal,Determinate,,,Cherry,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",
202,Cherry Bomb,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Bomb,,,Hybrid,Early,,Indeterminate,6 ft.,1 oz.,Cherry,Red,Red,,Late blight resistant.,,,,,,
203,Cherry Brandywine,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Brandywine,,Garden,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,,Cherry,Red,Red,,,,,,,,
204,Cherry Buzz,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Buzz,,Garden,Open Pollinated,Early,Normal,Indeterminate,7 ft.,0.5 oz.,Cherry,Red,Red,,Cracked in NJ trials.,,,,,,
205,Cherry Ember,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Ember,,Garden,Open Pollinated,Early,Normal,Indeterminate,8 ft.,1 oz.,Grape,Red,Red,,"Red with gold stripes, resists cracking",USA,,,,,
206,Cherry Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Pink,,Garden,Hybrid,Mid,Normal,Determinate,6 ft.,6 oz.,Cherry,Deep Pink,Deep Pink,Tomato Flavor,Compact plant.,,,,,,
207,Cherry Princess Sweetie Surprise,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Princess+Sweetie+Surprise,,Garden,Hybrid,Early,Normal,Indeterminate,5 ft.,0.25 oz.,Cherry,Red,Red,,"Complex flavor, early and high yielding",,,,,,
208,Cherry Roma,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Roma,,Specialty,Open Pollinated,Late,Normal,Indeterminate,7 ft.,1 inch,Grape,Red,Red,,,,,,,,
209,Cherry Sweetie,https://njaes.rutgers.edu/tomato-varieties/variety.php?Cherry+Sweetie,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,5 ft.,0.4 oz.,Cherry,Red,Red,,,,,,,,
210,Chianti Rose,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chianti+Rose,,,Open Pollinated,Mid,Potato,Indeterminate,5 ft.,1-2 lbs.,Beefsteak,Deep Pink,Deep Pink,,Potato leaf.,,,,,,
211,Chile Verde,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chile+Verde,,,Open Pollinated,Late,,Indeterminate,6 ft.,6 oz.,Plum,Green,Green,,Developed by Tom Wagner. Unique chili pepper shape.,,,,,,
212,Chiquita,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chiquita,,,Hybrid,Early,Narrow,Determinate,4 ft.,0.5 oz.,Cherry,Deep Pink,Deep Pink,,,,,,,,
213,Chocolate,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chocolate,,,Open Pollinated,Mid,Normal,Indeterminate,5 ft.,6 oz.,Flattened Globe,Black,Red,,,,,,,,
214,Chocolate Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chocolate+Cherry,,Specialty,Open Pollinated,Late,Normal,Indeterminate,7 ft.,0.5 oz.,Cherry,Black,Black,,,,,,,,
215,Chocolate Pear (3),https://njaes.rutgers.edu/tomato-varieties/variety.php?Chocolate+Pear+(3),,Garden,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,2 oz.,Pear,Bi-color,Red,,"Red, brown, green skin, rich tomato flavor, perfect for snacking",,,,,,
216,Chocolate Sprinkles,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chocolate+Sprinkles,,,Hybrid,Early,,Indeterminate,5 ft.,1 oz.,Grape,Black,Black,,Dark red with dark green stripes.,,,,,,
217,Chocolate Stripes,https://njaes.rutgers.edu/tomato-varieties/variety.php?Chocolate+Stripes,,Garden,Open Pollinated,Mid,Normal,Indeterminate,5 ft.,16 oz.,Flattened Globe,Red,Red,,"Beefsteak, complex sweet and earthy tomato flavor, dark red with green stripes",USA,,,,,
218,Christmas Grapes,https://njaes.rutgers.edu/tomato-varieties/variety.php?Christmas+Grapes,,Heirloom,Open Pollinated,Early,Narrow,Indeterminate,6 ft.,0.45 oz.,Cherry,Red,Red,,Bears fruit in clusters like grapes. Flat cherry not grape shaped.,,,,Seed Exchange,,
